Time,Frequency,Amplitude
2024-01-04 19:08:05.024196,"320773000
","-86.2267684937
"
2024-01-04 19:08:05.059102,"324120000
","-86.3523483276
"
2024-01-04 19:08:05.078052,"320404000
","-87.7052383423
"
2024-01-04 19:08:05.095010,"319694000
","-87.4651641846
"
2024-01-04 19:08:05.110503,"322332000
","-86.887588501
"
2024-01-04 19:08:05.126460,"326767000
","-85.8144607544
"
2024-01-04 19:08:05.141419,"328955000
","-85.6009140015
"
2024-01-04 19:08:05.158375,"320434000
","-86.4224319458
"
2024-01-04 19:08:05.174358,"322162000
","-83.8541870117
"
2024-01-04 19:08:05.189295,"322232000
","-85.7392196655
"
2024-01-04 19:08:05.205254,"322282000
","-86.7134475708
"
2024-01-04 19:08:05.220731,"328486000
","-87.1398925781
"
2024-01-04 19:08:05.237687,"320863000
","-85.5865707397
"
2024-01-04 19:08:05.251648,"321772000
","-84.8473968506
"
2024-01-04 19:08:05.267607,"324060000
","-85.871925354
"
2024-01-04 19:08:05.283564,"326378000
","-83.9451675415
"
2024-01-04 19:08:05.299531,"322621000
","-87.1706771851
"
2024-01-04 19:08:05.314016,"320194000
","-88.1423339844
"
2024-01-04 19:08:05.330971,"327097000
","-86.9508590698
"
2024-01-04 19:08:05.346929,"320104000
","-86.256439209
"
2024-01-04 19:08:05.361966,"321712000
","-85.7352676392
"
2024-01-04 19:08:05.377923,"320434000
","-83.9118118286
"
2024-01-04 19:08:05.395885,"320194000
","-85.1187515259
"
2024-01-04 19:08:05.410368,"319964000
","-86.6614990234
"
2024-01-04 19:08:05.427323,"327217000
","-87.3276443481
"
2024-01-04 19:08:05.443283,"320324000
","-86.8010253906
"
2024-01-04 19:08:05.459241,"320454000
","-85.657951355
"
2024-01-04 19:08:05.474249,"320843000
","-86.4254989624
"
2024-01-04 19:08:05.489209,"321323000
","-87.3195037842
"
2024-01-04 19:08:05.505196,"322192000
","-84.8326263428
"
2024-01-04 19:08:05.521677,"323021000
","-85.5325317383
"
2024-01-04 19:08:05.537634,"319504000
","-86.0274963379
"
2024-01-04 19:08:05.553591,"325788000
","-87.6350326538
"
2024-01-04 19:08:05.568551,"322062000
","-87.2563781738
"
2024-01-04 19:08:05.585507,"328905000
","-87.5127258301
"
